IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
172.64.38.28,4,4,0.00,87.39,36.67,SIN,443
172.64.35.223,4,4,0.00,85.39,36.48,SIN,443
141.101.115.211,4,4,0.00,178.69,36.35,SJC,443
162.159.36.148,4,4,0.00,87.75,36.24,SIN,443
104.18.39.164,4,4,0.00,192.85,36.09,SIN,443
104.18.35.148,4,4,0.00,197.29,35.86,SIN,443
162.159.12.164,4,4,0.00,109.98,35.78,SIN,443
172.64.90.102,4,4,0.00,155.75,35.61,SJC,443
162.159.251.42,4,4,0.00,183.08,35.43,LAX,443
104.16.85.105,4,4,0.00,176.97,35.14,SJC,443
104.16.72.219,4,4,0.00,172.52,34.65,SJC,443
104.17.150.209,4,4,0.00,173.52,34.38,SJC,443
104.19.252.35,4,4,0.00,187.69,34.18,LAX,443
162.159.42.104,4,4,0.00,85.68,33.82,SIN,443
104.16.36.13,4,4,0.00,163.09,33.73,SJC,443
172.64.42.140,4,4,0.00,84.20,33.73,SIN,443
104.17.128.243,4,4,0.00,178.55,33.00,SJC,443
104.16.0.14,4,4,0.00,176.55,32.75,SJC,443
104.16.17.126,4,4,0.00,183.24,32.67,SJC,443
104.17.14.91,4,4,0.00,170.60,32.50,SJC,443
104.16.98.25,4,4,0.00,172.43,32.15,SJC,443
172.64.53.189,4,4,0.00,84.45,31.55,SIN,443
198.41.200.164,4,4,0.00,182.25,31.48,SJC,443
104.17.148.136,4,4,0.00,183.50,31.43,SJC,443
104.17.64.136,4,4,0.00,179.62,30.91,SJC,443
172.66.42.28,4,4,0.00,160.66,30.86,SJC,443
104.16.220.123,4,4,0.00,185.94,30.79,SJC,443
104.17.107.143,4,4,0.00,187.65,30.70,SJC,443
104.24.28.211,4,4,0.00,187.47,30.59,FRA,443
104.18.44.235,4,4,0.00,209.45,30.39,SIN,443
104.17.156.240,4,4,0.00,173.24,29.98,SJC,443
172.66.44.177,4,4,0.00,164.60,29.90,SJC,443
172.66.194.221,4,4,0.00,183.11,29.88,FRA,443
104.18.34.26,4,4,0.00,175.21,29.84,SIN,443
104.17.109.85,4,4,0.00,185.94,29.29,SJC,443
104.17.97.88,4,4,0.00,172.60,28.99,SJC,443
104.16.133.116,4,4,0.00,177.59,28.50,SJC,443
172.67.69.106,4,4,0.00,180.39,28.50,FRA,443
162.159.14.183,4,4,0.00,104.52,28.44,SIN,443
104.17.153.59,4,4,0.00,173.47,28.41,SJC,443
104.16.118.224,4,4,0.00,170.86,27.96,LAX,443
172.67.72.215,4,4,0.00,186.79,27.85,FRA,443
104.17.87.26,4,4,0.00,188.73,27.53,SJC,443
162.159.192.128,4,4,0.00,190.49,27.16,LAX,443
104.19.251.110,4,4,0.00,186.39,27.14,LAX,443
104.17.137.141,4,4,0.00,172.00,26.65,SJC,443
172.66.176.76,4,4,0.00,178.39,26.59,FRA,443
104.16.4.45,4,4,0.00,171.14,26.50,SJC,443
104.16.58.109,4,4,0.00,168.79,26.15,SJC,443
104.17.25.52,4,4,0.00,164.17,26.13,SJC,443
104.27.36.44,4,4,0.00,183.67,25.97,FRA,443
172.66.202.213,4,4,0.00,188.43,25.91,FRA,443
104.24.7.243,4,4,0.00,182.82,25.41,FRA,443
104.16.39.252,4,4,0.00,169.37,25.26,SJC,443
162.159.197.173,4,4,0.00,170.46,25.11,SJC,443
104.27.68.48,4,4,0.00,182.05,25.07,FRA,443
104.17.105.74,4,4,0.00,182.24,25.04,SJC,443
172.67.168.45,4,4,0.00,185.39,24.73,AMS,443
104.20.10.173,4,4,0.00,188.51,24.53,FRA,443
104.17.110.83,4,4,0.00,175.98,24.46,SJC,443
198.41.207.220,4,4,0.00,163.64,24.26,SJC,443
104.24.163.156,4,4,0.00,185.86,24.22,FRA,443
104.16.3.101,4,4,0.00,169.50,24.16,SJC,443
172.67.231.33,4,4,0.00,187.37,24.14,AMS,443
172.64.153.224,4,4,0.00,93.76,24.13,SIN,443
104.16.74.236,4,4,0.00,173.83,23.97,SJC,443
